Lenni;be;was/were;been
Válik/lesz;valamivé;become;became;become
Elkezd;begin;began;begun
Eltör;break;broke;broken
Hoz;bring;brought;brought
Épít;build;built;built
Vásárol;buy;bought;bought
Tud/képes;can;could;-
Elkap;catch;caught;caught
Választ;choose;chose;chosen
Jön;come;came;come
Kerül valamibe;cost;cost;cost
Vág;cut;cut;cut
Csinál;do;did;done
Álmodik;dream;dreamt/dreamed;dreamt/dreamed
Iszik;drink;drank;drunk
Vezet;drive;drove;driven
Eszik;eat;ate;eaten
Esik;fall;fell;fallen
Érez;feel;felt;felt
Talál;find;found;found
Repül;fly;flew;flown
Elfelejt;forget;forgot;forgotten
Kap/jut;get;got;got
Ad;give;gave;given
Megy;go;went;gone
Nő/termeszt;grow;grew;grown
Van neki;have;had;had
Hall;hear;heard;heard
Üt;hit;hit;hit
Tart;keep;kept;kept
Tud/ismer;know;knew;known
Fektet;lay;laid;laid
Tanul;learn;learnt/learned;learnt/learned
Elhagy;leave;left;left
Kölcsönad;lend;lent;lent
Hagy/enged;let;let;let
Elveszít;lose;lost;lost
Készít;make;made;made
Találkozik;meet;met;met
Fizet;pay;paid;paid
Tesz/rak;put;put;put
Olvas;read;read;read
Csörög;ring;rang;rung
Fut;run;ran;run
Mond;say;said;said
Lát;see;saw;seen
Elad;sell;sold;sold
Küld;send;sent;sent
Bezár;shut;shut;shut
Énekel;sing;sang;sung
Ül;sit;sat;sat
Alszik;sleep;slept;slept
Beszél;speak;spoke;spoken
Költ/tölt;spend;spent;spent
Áll;stand;stood;stood
Lop;steal;stole;stolen
Úszik;swim;swam;swum
Vesz/visz;take;took;taken
Tanít;teach;taught;taught
Mond/mesél;tell;told;told
Gondol;think;thought;thought
Dob;throw;threw;thrown
Megért;understand;understood;understood
Ébred;wake;woke;woken
Visel;wear;wore;worn
Nyer;win;won;won
Ír;write;wrote;written
